block_id,A,B,wage,V,theta
1001,1.2068144188457044,0.5250691551455046,0.7160896555889201,1419.416478654581,0.9927059940407177
1005,1.1006350256877007,0.0,0.6237199459613502,126.35491326494555,1.0
1007,1.4565074064971661,1.0242286845920836,0.8999073749236732,3438.764509448315,0.8748525890575815
1009,1.2310440258169548,0.7245197700187369,0.7174265621405201,433.1459230590409,0.9397243466037845
1010,0.0,0.8316515953238944,0.0,249.77896402052852,0.0
1012,1.1343674070633099,1.152478226497039,0.605707039066022,1820.9507415941416,0.1647868455698067
1013,1.08830803024697,1.14835798314705,0.5918797800997956,1196.4430962072822,0.11901668818282038
1044,1.069397454045688,1.1627587117863585,0.5591492551110084,1320.3308379002056,0.09369517861011965
1072,1.2188591149330716,0.5405027879494038,0.6994252781954985,222.6502887943158,0.9917699091427378
1073,0.9845453526174001,1.0500475125201894,0.5042529835645456,721.3774300711411,0.0844307577666075
1074,1.3731819560505238,0.9652993657758031,0.7766481143095167,1070.6445433528822,0.8439762811131801
1075,1.0384962502881232,1.0052642921681432,0.5541187790448767,1459.9130848265324,0.17974388342008527
1076,1.583455993682811,0.590443463701085,0.8980319108362658,1914.3726289047636,0.9988408426711958
1090,0.0,0.9930448444421135,0.0,212.04015368387962,0.0
1094,1.5633324182753643,0.966091013039515,0.8837886882433176,3728.941658813336,0.9522208695507283
1601,1.4594932519062884,0.0,0.9022139822231223,931.2750707019037,1.0
1602,1.4944898078224942,0.5809061554777056,0.9142219997548904,979.527855503879,0.9983396301857962
1624,1.5752393433269207,0.0,0.9925219657362342,5107.496278578729,1.0
1625,1.0804395970188856,1.0106501187080539,0.5569098339291912,201.48717852879196,0.23367545276804175
1641,0.9798085967173145,0.7660594701437771,0.5323852252565927,158.91464219974918,0.4870282340463271
1902,0.9455977825286916,0.0,0.5159035630589144,12.470894823222386,1.0
1911,0.86175994270396,0.5369547147430056,0.45345303815121113,5.205086558752586,0.7723511670149418
2016,1.0416919126261708,1.0759622988426356,0.5411004983969482,953.8588432187015,0.1179046767782517
2017,1.1964165338093726,1.189178594306734,0.6433641038683057,2028.5707672255955,0.21389614471714752
